day,start time,duration,room name,track,title,participants
Sat,5:00 PM,1:00,Molly Pitcher,Fan Interest,Flirt Like a Pro!,"Michelle Wexelblat, Jonathan Woodward, Michael McAfee, Cheryl Braverman, Dr. James Prego"
Sat,5:00 PM,1:00,Paul Revere A,Media,Destination Moon at 60,"Jeffrey A Carver, Steve E Popkes, A Joseph Ross, Ian Schleifer"
Sat,5:00 PM,1:00,Paul Revere B,Literature,Debate the Greats: H.G. Wells and Jules Verne,"Stephen R Wilk, Karl G Heinemann, Mario Di Giacomo, Jeff Hecht, Frank Wu"
Sat,5:00 PM,1:00,President's A,Literature,Interview with Gardner Dozois,"Gardner Dozois, Allen Steele"
Sat,5:00 PM,1:00,Room 201,Science,Off-World Settlement,Martha Adams
Sat,5:00 PM,1:00,William Dawes A,Literature,Take Back the Sci-Fi,"Shira Lipkin, Catt Kingsgrave-Ernstein, Ken Kingsgrave-Ernstein, Woodrow ""asim"" Hill, Trisha Wooldridge"
Sat,5:00 PM,1:00,William Dawes B,Science,UnIntelligent Design,Abby Hafer
%Saturday Evening,,,,,,
Sat,6:00 PM,5:00,Empress,Costuming,Masquerade Green Room,
Sat,6:00 PM,1:30,Haym Solomon,Media,Able Edwards,
Sat,6:00 PM,1:00,Paul Revere A,Media,Relativism and the Superhero,"Shariann Lewitt, Cynthia A Shettle, Israel Peskowitz, Jaime Garmendia, Daniel Miller"
Sat,6:00 PM,1:00,Paul Revere B,Fan Interest,Repo! - The Next Great Cult Film,"Tony Finan, Bey Woodward, Lauren Stern, Dr. James Prego, Little Mel"
Sat,6:00 PM,1:00,Room 201,Gaming,Costuming for LARPs,"Rebecca L Kletnieks, Alex Newman, Anna R Bradley, John Bacon, Nat Budin"
Sat,6:00 PM,4:00,Thomas Paine AB,Gaming,Eclipse Phase - An Inconvenient Death,Jack Graham
Sat,6:00 PM,2:00,Thomas Paine AB,Gaming,Frag - table top game,Bill Todd
Sat,6:00 PM,1:00,William Dawes A,Fan Interest,Disability and Fandom,"Alicia ""Kestrell"" Verlager, Amy Chused, Stephanie Clarkson, Cheryl Braverman, Darkteddybear"
Sat,6:15 PM,0:14,Molly Pitcher,Media,Journey Through Space,
Sat,6:30 PM,2:30,Crispus Attucks,Costuming,Kamikaze Kids Green Room,Persis L Thorndike
Sat,6:30 PM,0:22,Molly Pitcher,Media,Life on Other Worlds,
Sat,7:00 PM,2:00,Molly Pitcher,Media,Ray Bradbury Film Festival ,
Sat,7:00 PM,1:00,Paul Revere A,Fan Interest,The Year in Review: Politics,"John Costello, Israel Peskowitz, A Joseph Ross, Thomas Traina, Woodrow ""asim"" Hill"
Sat,7:00 PM,1:00,Paul Revere B,Literature,Machines Augmenting Mankind: Our Cyborg Future,"James L. Cambias, Alicia ""Kestrell"" Verlager, Christopher K. Davis, Martha Adams, Mark L Van Name"
Sat,7:00 PM,1:00,Room 201,Literature,Must-Read Stories,"Jonathan Woodward, Lauren Grover, Ken Gale, Peter Maranci, Steve E Popkes"
Sat,7:00 PM,2:00,Thomas Paine AB,Gaming,Pandemic: On the Brink - table top game,Brennan Martin
Sat,7:00 PM,1:00,William Dawes A,Literature,Inherent Darkness of Fairy Tales,"Katherine Crighton, Elaine Isaak, Mercy E Van Vlack, Vikki Rose, Daniel Rabuzzi"
Sat,7:00 PM,3:00,William Dawes B,Anime,Light Anime,
